salary,job_url,job_enterprise,date,job_place,job_name
4500-5999/月,http://jobs.51job.com/shanghai/83218288.html?s=0,上海西线教育科技有限公司,11-08,上海,数据挖掘实习生/助理
4500-5999/月,http://jobs.51job.com/shanghai/83218062.html?s=0,崇盈(上海)信息技术有限公司,11-08,上海,数据挖掘实习生/助理
Null,http://jobs.51job.com/shanghai/67301571.html?s=0,万达信息股份有限公司,11-08,上海,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/jinan-gxq/83213693.html?s=0,山东睿益环境技术有限公司,11-08,济南-高新区,数据挖掘高级工程师
15000-25000/月,http://jobs.51job.com/beijing/83210616.html?s=0,北京瑞星信息技术股份有限公司,11-08,北京,数据挖掘工程师
20000-30000/月,http://jobs.51job.com/shanghai-zbq/83209184.html?s=0,心梦想（上海）信息科技有限公司,11-08,上海-闸北区,数据挖掘
3000-4499/月,http://jobs.51job.com/shanghai-cnq/83208926.html?s=0,上海凭安网络科技有限公司,11-08,上海-长宁区,数据挖掘助理（实习生）
15000-19999/月,http://jobs.51job.com/beijing/73702965.html?s=0,北京车网互联科技有限公司,11-08,北京,数据挖掘工程师
10000-14999/月,http://jobs.51job.com/beijing/80045057.html?s=0,北京思创贯宇科技开发有限公司,11-08,北京,数据挖掘算法工程师
1000-10000/月,http://jobs.51job.com/beijing-hdq/59958170.html?s=0,华北计算技术研究所（中国电子科技集团公司第十五研究所 ）,11-08,北京-海淀区,软件研发工程师（数据挖掘方向）
15000-19999/月,http://jobs.51job.com/shenzhen-nsq/76767532.html?s=0,深圳市爱听卓乐文化科技有限公司,11-08,深圳-南山区,高级数据挖掘工程师
5000-8000/月,http://jobs.51job.com/chengdu-gxq/83186880.html?s=0,深圳柠檬金融信息服务有限公司,11-08,成都-高新区,数据挖掘工程师
30000-60000/月,http://jobs.51job.com/beijing/82494070.html?s=0,北京和光方同信息技术咨询有限公司,11-08,北京,数据挖掘工程师
15000-25000/月,http://jobs.51job.com/hangzhou-gsq/83166307.html?s=0,杭州枫灼网络科技有限公司,11-08,杭州-拱墅区,数据挖掘工程师
6000-7999/月,http://jobs.51job.com/erqiqu/83177704.html?s=0,郑州多美电子科技有限公司,11-08,郑州-二七区,急聘数据挖掘分析师
10000-15000/月,http://jobs.51job.com/beijing/83059457.html?s=0,北京开卷信息技术有限公司,11-08,北京,初级数据挖掘
10000-20000/月,http://jobs.51job.com/beijing-hdq/83179053.html?s=0,北京优易惠技术有限公司,11-08,北京-海淀区,数据挖掘工程师
6000-7999/月,http://jobs.51job.com/xian/83168495.html?s=0,北京威派格科技发展有限公司,11-08,西安,数据分析、数据挖掘工程师(上海)
6000-10000/月,http://jobs.51job.com/xian/83159765.html?s=0,北京东方国信科技股份有限公司,11-08,异地招聘,数据挖掘/分析工程师(YDSY)
6000-7999/月,http://jobs.51job.com/jinan-lcq/83072389.html?s=0,济南仙汤姆生物技术有限公司,11-08,济南-历城区,数据挖掘工程师
8000-9999/月,http://jobs.51job.com/chengdu/83010934.html?s=0,上海塔罗信息技术有限公司,11-08,成都,数据挖掘工程师
8000-9999/月,http://jobs.51job.com/beijing-cyq/82297853.html?s=0,欢网科技有限责任公司,11-08,北京-朝阳区,数据挖掘工程师
15000-25000/月,http://jobs.51job.com/beijing-hdq/82289261.html?s=0,北京北大英华科技有限公司,11-08,北京-海淀区,数据挖掘与可视化工程师
10000-14999/月,http://jobs.51job.com/shanghai-xhq/81757534.html?s=0,上海海万信息科技有限公司,11-08,上海-徐汇区,大数据挖掘工程师
6000-12000/月,http://jobs.51job.com/chengdu/78766136.html?s=0,深圳市博雅成信金融服务有限公司,11-08,成都,数据挖掘工程师（spark 数据分析 数据挖掘 风控）
20000-24999/月,http://jobs.51job.com/shanghai-pdxq/75798912.html?s=0,沪江,11-08,上海-浦东新区,数据挖掘分析师
8000-12000/月,http://jobs.51job.com/shenzhen/72463267.html?s=0,深圳市爱贝信息技术有限公司,11-08,深圳,数据挖掘工程师
8000-15000/月,http://jobs.51job.com/beijing/70858564.html?s=0,北京国药诚信资讯发展有限公司,11-08,北京,数据挖掘分析师
25000-29999/月,http://jobs.51job.com/shenzhen-nsq/82703923.html?s=0,深圳市微屏互动信息技术有限公司,11-08,深圳-南山区,高级数据挖掘工程师
